v1	I(V1)
4.374054054054048e+01	1.336173e+01
4.376214054054048e+01	1.335778e+01
4.378374054054048e+01	1.335380e+01
4.380534054054048e+01	1.334979e+01
4.382694054054048e+01	1.334574e+01
4.384854054054048e+01	1.334166e+01
4.387014054054048e+01	1.333754e+01
4.389174054054048e+01	1.333340e+01
4.391334054054047e+01	1.332921e+01
4.393494054054047e+01	1.332500e+01
4.395654054054047e+01	1.332074e+01
4.397814054054047e+01	1.331646e+01
4.399974054054047e+01	1.331213e+01
4.402134054054047e+01	1.330777e+01
4.404294054054047e+01	1.330338e+01
4.406454054054047e+01	1.329894e+01
4.408614054054047e+01	1.329447e+01
4.410774054054047e+01	1.328997e+01
4.412934054054047e+01	1.328542e+01
4.415094054054047e+01	1.328084e+01
4.417254054054047e+01	1.327622e+01
4.419414054054047e+01	1.327156e+01
4.421574054054047e+01	1.326686e+01
4.423734054054047e+01	1.326212e+01
4.425894054054046e+01	1.325735e+01
4.428054054054046e+01	1.325253e+01
4.430214054054046e+01	1.324767e+01
4.432374054054046e+01	1.324277e+01
4.434534054054046e+01	1.323783e+01
4.436694054054046e+01	1.323285e+01
4.438854054054046e+01	1.322783e+01
4.441014054054046e+01	1.322276e+01
4.443174054054046e+01	1.321765e+01
4.445334054054046e+01	1.321250e+01
4.447494054054046e+01	1.320731e+01
4.449654054054046e+01	1.320207e+01
4.451814054054046e+01	1.319678e+01
4.453974054054046e+01	1.319146e+01
4.456134054054046e+01	1.318608e+01
4.458294054054046e+01	1.318067e+01
4.460454054054046e+01	1.317520e+01
4.462614054054045e+01	1.316969e+01
4.464774054054045e+01	1.316413e+01
4.466934054054045e+01	1.315853e+01
4.469094054054045e+01	1.315288e+01
4.471254054054045e+01	1.314718e+01
4.473414054054045e+01	1.314143e+01
4.475574054054045e+01	1.313564e+01
4.477734054054045e+01	1.312979e+01
4.479894054054045e+01	1.312390e+01
4.482054054054045e+01	1.311795e+01
4.484214054054045e+01	1.311196e+01
4.486374054054045e+01	1.310591e+01
4.488534054054045e+01	1.309981e+01
4.490694054054045e+01	1.309366e+01
4.492854054054045e+01	1.308746e+01
4.495014054054045e+01	1.308121e+01
4.497174054054044e+01	1.307490e+01
4.499334054054044e+01	1.306854e+01
4.501494054054044e+01	1.306212e+01
4.503654054054044e+01	1.305565e+01
4.505814054054044e+01	1.304912e+01
4.507974054054044e+01	1.304254e+01
4.510134054054044e+01	1.303590e+01
4.512294054054044e+01	1.302921e+01
4.514454054054044e+01	1.302246e+01
4.516614054054044e+01	1.301565e+01
4.518774054054044e+01	1.300878e+01
4.520934054054044e+01	1.300185e+01
4.523094054054044e+01	1.299486e+01
4.525254054054044e+01	1.298782e+01
4.527414054054044e+01	1.298071e+01
4.529574054054044e+01	1.297355e+01
4.531734054054044e+01	1.296632e+01
4.533894054054043e+01	1.295903e+01
4.536054054054043e+01	1.295168e+01
4.538214054054043e+01	1.294426e+01
4.540374054054043e+01	1.293678e+01
4.542534054054043e+01	1.292924e+01
4.544694054054043e+01	1.292163e+01
4.546854054054043e+01	1.291396e+01
4.549014054054043e+01	1.290622e+01
4.551174054054043e+01	1.289841e+01
4.553334054054043e+01	1.289054e+01
4.555494054054043e+01	1.288260e+01
4.557654054054043e+01	1.287459e+01
4.559814054054043e+01	1.286651e+01
4.561974054054043e+01	1.285837e+01
4.564134054054043e+01	1.285015e+01
4.566294054054043e+01	1.284186e+01
4.568454054054043e+01	1.283350e+01
4.570614054054042e+01	1.282507e+01
4.572774054054042e+01	1.281657e+01
4.574934054054042e+01	1.280799e+01
4.577094054054042e+01	1.279934e+01
4.579254054054042e+01	1.279062e+01
4.581414054054042e+01	1.278182e+01
4.583574054054042e+01	1.277294e+01
4.585734054054042e+01	1.276399e+01
4.587894054054042e+01	1.275496e+01
4.590054054054048e+01	1.274586e+01
