v1	I(V1)
1.137181181181181e+03	1.336224e+01
1.137741181181181e+03	1.335830e+01
1.138301181181181e+03	1.335434e+01
1.138861181181181e+03	1.335034e+01
1.139421181181181e+03	1.334631e+01
1.139981181181181e+03	1.334225e+01
1.140541181181181e+03	1.333815e+01
1.141101181181181e+03	1.333402e+01
1.141661181181181e+03	1.332985e+01
1.142221181181181e+03	1.332565e+01
1.142781181181181e+03	1.332142e+01
1.143341181181181e+03	1.331715e+01
1.143901181181181e+03	1.331284e+01
1.144461181181181e+03	1.330850e+01
1.145021181181181e+03	1.330412e+01
1.145581181181180e+03	1.329971e+01
1.146141181181180e+03	1.329526e+01
1.146701181181180e+03	1.329077e+01
1.147261181181180e+03	1.328625e+01
1.147821181181180e+03	1.328169e+01
1.148381181181180e+03	1.327709e+01
1.148941181181180e+03	1.327245e+01
1.149501181181180e+03	1.326777e+01
1.150061181181180e+03	1.326305e+01
1.150621181181180e+03	1.325830e+01
1.151181181181180e+03	1.325350e+01
1.151741181181180e+03	1.324866e+01
1.152301181181180e+03	1.324379e+01
1.152861181181180e+03	1.323887e+01
1.153421181181180e+03	1.323391e+01
1.153981181181180e+03	1.322891e+01
1.154541181181180e+03	1.322387e+01
1.155101181181180e+03	1.321878e+01
1.155661181181179e+03	1.321366e+01
1.156221181181179e+03	1.320849e+01
1.156781181181179e+03	1.320327e+01
1.157341181181179e+03	1.319802e+01
1.157901181181179e+03	1.319271e+01
1.158461181181179e+03	1.318737e+01
1.159021181181179e+03	1.318198e+01
1.159581181181179e+03	1.317654e+01
1.160141181181179e+03	1.317105e+01
1.160701181181179e+03	1.316553e+01
1.161261181181179e+03	1.315995e+01
1.161821181181179e+03	1.315433e+01
1.162381181181179e+03	1.314866e+01
1.162941181181179e+03	1.314294e+01
1.163501181181179e+03	1.313717e+01
1.164061181181179e+03	1.313136e+01
1.164621181181179e+03	1.312549e+01
1.165181181181179e+03	1.311958e+01
1.165741181181178e+03	1.311361e+01
1.166301181181178e+03	1.310760e+01
1.166861181181178e+03	1.310153e+01
1.167421181181178e+03	1.309541e+01
1.167981181181178e+03	1.308924e+01
1.168541181181178e+03	1.308302e+01
1.169101181181178e+03	1.307675e+01
1.169661181181178e+03	1.307042e+01
1.170221181181178e+03	1.306404e+01
1.170781181181178e+03	1.305760e+01
1.171341181181178e+03	1.305111e+01
1.171901181181178e+03	1.304456e+01
1.172461181181178e+03	1.303796e+01
1.173021181181178e+03	1.303130e+01
1.173581181181178e+03	1.302459e+01
1.174141181181178e+03	1.301782e+01
1.174701181181178e+03	1.301099e+01
1.175261181181178e+03	1.300410e+01
1.175821181181178e+03	1.299715e+01
1.176381181181177e+03	1.299014e+01
1.176941181181177e+03	1.298308e+01
1.177501181181177e+03	1.297595e+01
1.178061181181177e+03	1.296877e+01
1.178621181181177e+03	1.296152e+01
1.179181181181177e+03	1.295421e+01
1.179741181181177e+03	1.294683e+01
1.180301181181177e+03	1.293940e+01
1.180861181181177e+03	1.293190e+01
1.181421181181177e+03	1.292434e+01
1.181981181181177e+03	1.291671e+01
1.182541181181177e+03	1.290901e+01
1.183101181181177e+03	1.290125e+01
1.183661181181177e+03	1.289343e+01
1.184221181181177e+03	1.288554e+01
1.184781181181177e+03	1.287758e+01
1.185341181181177e+03	1.286955e+01
1.185901181181177e+03	1.286145e+01
1.186461181181176e+03	1.285328e+01
1.187021181181176e+03	1.284505e+01
1.187581181181176e+03	1.283674e+01
1.188141181181176e+03	1.282836e+01
1.188701181181176e+03	1.281991e+01
1.189261181181176e+03	1.281139e+01
1.189821181181176e+03	1.280279e+01
1.190381181181176e+03	1.279412e+01
1.190941181181176e+03	1.278538e+01
1.191501181181176e+03	1.277656e+01
1.192061181181176e+03	1.276766e+01
1.192621181181176e+03	1.275869e+01
1.193181181181181e+03	1.274964e+01
