v1	I(V1)
0.000000000000000e+00	6.145199e+00
7.300000000000000e-03	6.145116e+00
1.460000000000000e-02	6.145032e+00
2.190000000000000e-02	6.144948e+00
2.920000000000000e-02	6.144864e+00
3.650000000000000e-02	6.144780e+00
4.380000000000000e-02	6.144696e+00
5.110000000000000e-02	6.144612e+00
5.840000000000000e-02	6.144528e+00
6.569999999999999e-02	6.144444e+00
7.300000000000000e-02	6.144360e+00
8.030000000000000e-02	6.144276e+00
8.760000000000000e-02	6.144191e+00
9.490000000000000e-02	6.144107e+00
1.022000000000000e-01	6.144022e+00
1.095000000000000e-01	6.143937e+00
1.168000000000000e-01	6.143852e+00
1.241000000000000e-01	6.143767e+00
1.314000000000000e-01	6.143682e+00
1.387000000000000e-01	6.143596e+00
1.460000000000000e-01	6.143509e+00
1.533000000000000e-01	6.143423e+00
1.606000000000000e-01	6.143336e+00
1.679000000000000e-01	6.143248e+00
1.752000000000000e-01	6.143160e+00
1.825000000000000e-01	6.143071e+00
1.898000000000000e-01	6.142982e+00
1.971000000000000e-01	6.142891e+00
2.044000000000000e-01	6.142799e+00
2.117000000000000e-01	6.142707e+00
2.190000000000000e-01	6.142612e+00
2.263000000000000e-01	6.142517e+00
2.336000000000000e-01	6.142419e+00
2.409000000000000e-01	6.142319e+00
2.482000000000000e-01	6.142217e+00
2.555000000000000e-01	6.142112e+00
2.628000000000000e-01	6.142003e+00
2.701000000000000e-01	6.141891e+00
2.773999999999999e-01	6.141774e+00
2.846999999999999e-01	6.141652e+00
2.919999999999999e-01	6.141524e+00
2.992999999999998e-01	6.141390e+00
3.065999999999998e-01	6.141248e+00
3.138999999999998e-01	6.141097e+00
3.211999999999998e-01	6.140935e+00
3.284999999999997e-01	6.140762e+00
3.357999999999997e-01	6.140575e+00
3.430999999999997e-01	6.140372e+00
3.503999999999997e-01	6.140151e+00
3.576999999999996e-01	6.139908e+00
3.649999999999996e-01	6.139641e+00
3.722999999999996e-01	6.139346e+00
3.795999999999995e-01	6.139018e+00
3.868999999999995e-01	6.138652e+00
3.941999999999995e-01	6.138243e+00
4.014999999999995e-01	6.137783e+00
4.087999999999994e-01	6.137264e+00
4.160999999999994e-01	6.136678e+00
4.233999999999994e-01	6.136014e+00
4.306999999999994e-01	6.135257e+00
4.379999999999993e-01	6.134395e+00
4.452999999999993e-01	6.133410e+00
4.525999999999993e-01	6.132281e+00
4.598999999999993e-01	6.130985e+00
4.671999999999992e-01	6.129494e+00
4.744999999999992e-01	6.127773e+00
4.817999999999992e-01	6.125785e+00
4.890999999999991e-01	6.123482e+00
4.963999999999991e-01	6.120808e+00
5.036999999999991e-01	6.117695e+00
5.109999999999991e-01	6.114063e+00
5.182999999999991e-01	6.109815e+00
5.255999999999991e-01	6.104830e+00
5.328999999999990e-01	6.098966e+00
5.401999999999990e-01	6.092042e+00
5.474999999999990e-01	6.083841e+00
5.547999999999990e-01	6.074093e+00
5.620999999999989e-01	6.062460e+00
5.693999999999989e-01	6.048522e+00
5.766999999999989e-01	6.031752e+00
5.839999999999989e-01	6.011489e+00
5.912999999999988e-01	5.986895e+00
5.985999999999988e-01	5.956912e+00
6.058999999999988e-01	5.920198e+00
6.131999999999987e-01	5.875048e+00
6.204999999999987e-01	5.819298e+00
6.277999999999987e-01	5.750201e+00
6.350999999999987e-01	5.664279e+00
6.423999999999986e-01	5.557148e+00
6.496999999999986e-01	5.423309e+00
6.569999999999986e-01	5.255936e+00
6.642999999999986e-01	5.046643e+00
6.715999999999985e-01	4.785295e+00
6.788999999999985e-01	4.459890e+00
6.861999999999985e-01	4.056574e+00
6.934999999999985e-01	3.559873e+00
7.007999999999984e-01	2.953190e+00
7.080999999999984e-01	2.219587e+00
7.153999999999984e-01	1.342824e+00
7.226999999999983e-01	3.085067e-01
7.300000000000000e-01	-8.948348e-01
