v1	I(V1)
0.000000000000000e+00	1.313050e+01
5.400000000000000e-01	1.312606e+01
1.080000000000000e+00	1.312092e+01
1.620000000000000e+00	1.311499e+01
2.160000000000000e+00	1.310863e+01
2.700000000000000e+00	1.310048e+01
3.240000000000000e+00	1.309146e+01
3.780000000000000e+00	1.308221e+01
4.320000000000000e+00	1.307285e+01
4.860000000000000e+00	1.306343e+01
5.400000000000000e+00	1.305397e+01
5.940000000000000e+00	1.304445e+01
6.480000000000000e+00	1.303470e+01
7.020000000000000e+00	1.302436e+01
7.560000000000000e+00	1.301366e+01
8.100000000000001e+00	1.300281e+01
8.640000000000001e+00	1.299188e+01
9.180000000000000e+00	1.298090e+01
9.719999999999999e+00	1.296987e+01
1.026000000000000e+01	1.295882e+01
1.080000000000000e+01	1.294773e+01
1.134000000000000e+01	1.293662e+01
1.188000000000000e+01	1.292549e+01
1.241999999999999e+01	1.291434e+01
1.295999999999999e+01	1.288621e+01
1.349999999999999e+01	1.277910e+01
1.403999999999999e+01	1.277137e+01
1.457999999999999e+01	1.276652e+01
1.511999999999999e+01	1.276166e+01
1.565999999999999e+01	1.275680e+01
1.619999999999999e+01	1.275193e+01
1.673999999999999e+01	1.274706e+01
1.727999999999999e+01	1.274218e+01
1.781999999999999e+01	1.273731e+01
1.835999999999999e+01	1.273242e+01
1.889999999999998e+01	1.272754e+01
1.943999999999998e+01	1.272265e+01
1.997999999999998e+01	1.271776e+01
2.051999999999998e+01	1.271287e+01
2.105999999999998e+01	1.270797e+01
2.159999999999998e+01	1.270307e+01
2.213999999999998e+01	1.269817e+01
2.267999999999998e+01	1.269327e+01
2.321999999999998e+01	1.268836e+01
2.375999999999998e+01	1.268346e+01
2.429999999999998e+01	1.267855e+01
2.483999999999997e+01	1.267364e+01
2.537999999999997e+01	1.266873e+01
2.591999999999997e+01	1.266382e+01
2.645999999999997e+01	1.265891e+01
2.699999999999997e+01	1.265399e+01
2.753999999999997e+01	1.264908e+01
2.807999999999997e+01	1.264407e+01
2.861999999999997e+01	1.263386e+01
2.915999999999997e+01	1.261263e+01
2.969999999999997e+01	1.243333e+01
3.023999999999997e+01	1.208483e+01
3.077999999999997e+01	1.158817e+01
3.131999999999996e+01	1.095953e+01
3.185999999999996e+01	1.083508e+01
3.239999999999996e+01	1.080323e+01
3.293999999999996e+01	1.077134e+01
3.347999999999996e+01	1.073943e+01
3.401999999999996e+01	1.070749e+01
3.455999999999996e+01	1.067553e+01
3.509999999999996e+01	1.064355e+01
3.563999999999996e+01	1.061154e+01
3.617999999999996e+01	1.057952e+01
3.671999999999996e+01	1.054747e+01
3.725999999999996e+01	1.051540e+01
3.779999999999995e+01	1.048332e+01
3.833999999999995e+01	1.045122e+01
3.887999999999995e+01	1.041910e+01
3.941999999999995e+01	1.038696e+01
3.995999999999995e+01	1.035481e+01
4.049999999999995e+01	1.032264e+01
4.103999999999995e+01	1.029045e+01
4.157999999999995e+01	1.025825e+01
4.211999999999995e+01	1.022603e+01
4.265999999999995e+01	1.019380e+01
4.319999999999995e+01	1.016155e+01
4.373999999999995e+01	1.012929e+01
4.427999999999994e+01	1.009702e+01
4.481999999999994e+01	1.006473e+01
4.535999999999994e+01	1.003243e+01
4.589999999999994e+01	9.997678e+00
4.643999999999994e+01	9.947472e+00
4.697999999999994e+01	9.893356e+00
4.751999999999994e+01	9.824521e+00
4.805999999999994e+01	9.609999e+00
4.859999999999994e+01	9.257102e+00
4.913999999999994e+01	8.769110e+00
4.967999999999994e+01	8.135982e+00
5.021999999999993e+01	7.317632e+00
5.075999999999993e+01	6.148220e+00
5.129999999999993e+01	4.720479e+00
5.183999999999993e+01	3.075219e+00
5.237999999999993e+01	1.216524e+00
5.291999999999993e+01	-8.522382e-01
5.345999999999993e+01	-3.124987e+00
5.400000000000000e+01	-5.592937e+00
